date,exercise,weight,reps,note,,
,,,1x6,,,
,Pendlay Row,50 kg,3x5,,,
10/14/14,OHP,50 kg,3x5,,,
,Face pull,30 kg,3x10,,,
,Dumbell Raise,5 kg,3x10,,,
,L Chin-up,,3x5,,,
,Triceps Pulldown,30 kg,3x10,,,
,Barbell Curl,20 kg,3x10,,,
10/16/14,Barbell Squat,75 kg,3x7,-5,,
,Bench Press,92.5 kg,1x4,PR Bench,,
,,85 kg,2x4,+5,,
,Dips,,3x10,,,
,Barbell Row,55 kg,3x5,,,
,Yates Row,55 kg,3x10,,,
,Pull-up,,3x5,,,
10/18/14,Deadlift,85 kg,1x5,+25 (PR:90),,
,L Chin-up,,3x5,(PR 5rep),,
,Leg Press,100 kg,3x10,+5 (PR:105),,
10/21/14,Barbell Squat,85 kg,2x5,+10 (PR:90),,
,,,1x6,,,
,Bench Press,80 kg,3x5,-12.5 (PR:92.5),,
,Dips,,3x10,(PR 10rep),,
,Pendlay Row,60 kg,3x5,(PR 60),,
,Pull-up,,4x5,(PR 4rep),,
10/23/14,OHP,50 kg,3x5,,,
,Deadlift,95 kg,1x5,PR!,,
,Dumbell Raise,5 kg,3x10,,,
,L Chin-up,,3x5,,,
,Chin-up,,3x5,,,
10/24/14,Leg Press,105 kg,3x5,PR 105,,
,Bench Press,70 kg,3x5,shoulder still hurt,,
,Dips,,3x10,,,
,Cable Row,45 kg,3x5,,,
10/27/14,Bench Press,90 kg,3x5,,,
,Dips,,3x10,,,
,Barbell Row,55 kg,4x5,,,
,Leg Press,110 kg,3x10,,,
10/28/14,Barbell Squat,75 kg,3x5,,,
10/29/14,OHP,50 kg,3x5,,,
,Face pull,30 kg,3x10,,,
,L Chin-up,,4x5,,,
,Chin-up,,3x5,,,
,Good Morning,20 kg,3x10,,,
11/1/14,One-legged Press,35 kg,1x10,lack of sleep,,
,Pull-up,,3x5,,,
11/3/14,Barbell Squat,90 kg,3x5,,,
,Bench Press,90 kg,2x5,,,
,,,2x6,,,
,Dips,,3x10,,,
,Barbell Row,56 kg,3x5,,,
11/5/14,OHP,53 kg,1x5,PR!,,
,,,2x4,,,
,Face pull,30 kg,3x10,,,
,Dumbell Raise,3.7 kg,3x10,,,
,Reverse Dumbell Flies,2 kg,3x10,,,
,L Chin-up,,3x5,,,
,,,1x7,,,
,Deadlift,95 kg,1x5,,,
,,100 kg,1x1,PR!,,
11/7/14,Bench Press,90 kg,2x5,,,
,,,1x6,,,
,Dips,,3x10,,,
,Barbell Squat,90 kg,3x5,,,
,Yates Row,50 kg,1x10,,,
,Dumbell Row,20 kg,3x10,,,
11/10/14,OHP,50 kg,2x5,no strength,,
,,40 kg,1x7,,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,Barbell Squat,75 kg,3x5,leg tired,,
,Hanging Leg Raise,,2x10,,,
,L Chin-up,,2x5,,,
,Chin-up,,1x5,,,
11/12/14,Bench Press,95 kg,1x5,PR!,,
,,92.5 kg,1x5,,,
,,90 kg,1x5,,,
,Dips,,3x10,,,
,Cable Row,45 kg,3x5,,,
,Pull-up,,3x5,,,
,Deadlift,90 kg,1x6,,,
,One-legged Press,30 kg,3x10,,,
11/14/14,Barbell Squat,80 kg,3x5,lethargic,,
,OHP,35 kg,3x5,,,
,Dumbell Raise,5 kg,3x10,,,
,L Chin-up,,3x5,,,
,Chin-up,,3x5,,,
,Reverse Dumbell Flies,2.5 kg,3x5,,,
11/17/14,Barbell Squat,90 kg,3x5,form not good,,
,Bench Press,90 kg,2x5,,,
,,,1x3,,,
,,70 kg,1x5,,,
,Pull-up,,2x5,,,
,,,1x4,,,
,Barbell Row,40 kg,3x7,,,
11/19/14,OHP,50 kg,3x5,feeling normal,,
,L Chin-up,,3x5,,,
,Chin-up,,2x5,,,
,Deadlift,100 kg,1x5,,,
11/20/14,Barbell Squat,80 kg,3x5,,,
,One-legged Press,35 kg,3x10,left leg weaker,,
,Face pull,30 kg,3x10,,,
11/21/14,Bench Press,93 kg,1x5,,,
,,,2x4,,,
,Dips,,3x10,,,
,Yates Row,50 kg,3x8,,,
,Pull-up,,3x5,,,
11/24/14,Bench Press,80 kg,3x6,should be OHP day,,
,Dips,,3x7,oh well,,
,Yates Row,55 kg,3x8,,,
,Cable Row,45 kg,3x7,,,
11/25/14,Barbell Squat,80 kg,3x5,,,
,Front Squat,40 kg,3x7,,,
,One-legged Press,30 kg,3x7,left still weaker,,
11/27/14,OHP,45 kg,3x5,deload,,
,Face pull,30 kg,3x10,,,
,Good Morning,10 kg,3x10,,,
,L Chin-up,,2x6,,,
,,,1x9,PR!,,
,Pull-up,,3x4,,,
,Deadlift,105 kg,1x3,PR! (grip failed),,
12/1/14,Barbell Squat,80 kg,3x5,,,
,One-legged Press,30 kg,3x10,,,
,Bench Press,91 kg,3x5,,,
,Dips,,3x10,,,
,Cable Row,45 kg,3x7,,,
,Pull-up,,3x5,,,
,Good Morning,15 kg,3x10,,,
12/3/14,OHP,45 kg,3x5,tough,,
,Face pull,35 kg,3x10,,,
,Dumbell Raise,5 kg,3x10,,,
,L Chin-up,,4x5,,,
,Deadlift,65 kg,2x6,working on form,,
12/5/14,Barbell Squat,85 kg,3x5,,,
,Bench Press,85 kg,3x5,,,
,Dips,,3x10,,,
,Cable Row,45 kg,3x7,,,
,Pull-up,,3x5,,,
12/8/14,Barbell Squat,85 kg,3x5,barely there,,
,OHP,50 kg,3x5,ok,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,L Chin-up,,5x5,,,
12/10/14,Bench Press,85 kg,2x5,,,
,,90 kg,1x5,,,
,Dips,,3x10,,,
,Cable Row,40 kg,3x6,,,
,Pull-up,,3x5,,,
,Deadlift,100 kg,1x5,grip failed,,
12/12/14,Barbell Squat,90 kg,2x5,,,
,,85 kg,1x5,,,
,Front Squat,30 kg,3x10,,,
,OHP,50 kg,1x2,ayy lmao,,
,,45 kg,3x5,,,
,L Chin-up,,3x5,,,
12/16/14,Barbell Squat,50 kg,1x6,very tired,,
12/17/14,Barbell Squat,95 kg,1x3,damn hard,,
,,85 kg,3x5,good form,,
,Bench Press,90 kg,2x5,,,
,,100 kg,1x5,,,
12/18/14,OHP,40 kg,3x7,,,
,Face pull,35 kg,3x7,,,
,Dumbell Raise,5 kg,3x7,,,
,L Chin-up,,5x5,,,
12/23/14,Barbell Squat,90 kg,1x3,lightheaded,,
,,80 kg,1x5,,,
,,70 kg,3x5,,,
,One-legged Press,20 kg,3x10,,,
,Pull-up,,3x6,,,
12/26/14,Barbell Squat,85 kg,1x3,,,
,,,3x5,,,
,Bench Press,85 kg,2x5,good form,,
,,,1x6,,,
,L Chin-up,,2x5,,,
,,,1x6,,,
